Ano;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Código da Área;Área de Enquadramento;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Concluintes Inscritos;Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Contínuo);Conceito Enade (Faixa);;;
2016;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pessoa Jurídica de Direito Público - Federal;144;28;NUTRIÇÃO;Educação Presencial;5300108;BRASÍLIA;DF;60;49;57,7898;4,2857;66,0347;4,3134;4,3065;5;;;
2016;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pessoa Jurídica de Direito Público - Federal;302;23;ENFERMAGEM;Educação Presencial;2800308;ARACAJU;SE;89;68;49,0029;3,1327;51,2397;3,6437;3,5160;4;;;
2016;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pessoa Jurídica de Direito Público - Federal;303;12;MEDICINA;Educação Presencial;2800308;ARACAJU;SE;53;53;59,4943;2,6431;67,9868;2,6588;2,6549;3;;;
2016;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pessoa Jurídica de Direito Público - Federal;304;6;ODONTOLOGIA;Educação Presencial;2800308;ARACAJU;SE;46;46;53,0478;3,2681;61,4370;2,9756;3,0487;4;;;
2016;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pessoa Jurídica de Direito Público - Federal;319;17;AGRONOMIA;Educação Presencial;2806701;SÃO CRISTÓVÃO;SE;25;24;51,8500;3,3957;62,5042;3,0124;3,1082;4;;;
2016;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;377;38;SERVIÇO SOCIAL;Educação Presencial;1302603;MANAUS;AM;96;84;51,4750;3,9055;62,0393;3,6477;3,7122;4;;;
2016;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;389;12;MEDICINA;Educação Presencial;1302603;MANAUS;AM;36;35;66,7086;4,2738;66,1286;2,2992;2,7929;3;;;
2016;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;390;19;FARMÁCIA;Educação Presencial;1302603;MANAUS;AM;28;28;58,0607;4,0785;59,5000;3,5788;3,7037;4;;;
2016;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;391;6;ODONTOLOGIA;Educação Presencial;1302603;MANAUS;AM;23;23;55,0391;3,5781;72,0130;4,4210;4,2102;5;;;
2016;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;399;17;AGRONOMIA;Educação Presencial;1302603;MANAUS;AM;15;15;50,7600;3,2240;54,8000;1,8822;2,2176;3;;;
2016;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;484;12;MEDICINA;Educação Presencial;2211001;TERESINA;PI;45;45;63,4333;3,5335;72,6711;3,5654;3,5574;4;;;
2016;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;485;6;ODONTOLOGIA;Educação Presencial;2211001;TERESINA;PI;50;49;58,1653;4,0648;70,5673;4,2234;4,1837;5;;;
2016;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;486;23;ENFERMAGEM;Educação Presencial;2211001;TERESINA;PI;48;48;56,0375;4,0757;58,1729;4,6371;4,4968;5;;;
2016;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;488;28;NUTRIÇÃO;Educação Presencial;2211001;TERESINA;PI;73;69;53,3304;3,6907;57,4957;3,3588;3,4418;4;;;
2016;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;497;38;SERVIÇO SOCIAL;Educação Presencial;2211001;TERESINA;PI;37;33;59,3152;5,0000;71,5152;4,5927;4,6945;5;;;
2016;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;504;5;MEDICINA VETERINÁRIA;Educação Presencial;2211001;TERESINA;PI;53;52;54,6615;3,6780;53,1885;3,3485;3,4309;4;;;
2016;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;508;17;AGRONOMIA;Educação Presencial;2211001;TERESINA;PI;43;42;46,2857;2,5191;59,6548;2,5944;2,5756;3;;;
2016;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pessoa Jurídica de Direito Público - Federal;516;19;FARMÁCIA;Educação Presencial;2211001;TERESINA;PI;25;23;64,3609;4,9691;68,2000;4,7272;4,7877;5;;;
2016;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Universidade;Pessoa Jurídica de Direito Público - Federal;590;19;FARMÁCIA;Educação Presencial;3146107;OURO PRETO;MG;51;46;55,4413;3,7083;59,2087;3,5404;3,5823;4;;;
2016;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Universidade;Pessoa Jurídica de Direito Público - Federal;591;28;NUTRIÇÃO;Educação Presencial;3146107;OURO PRETO;MG;34;29;55,4793;3,9774;58,6931;3,4927;3,6138;4;;;
2016;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Universidade;Pessoa Jurídica de Direito Público - Federal;626;23;ENFERMAGEM;Educação Presencial;3548906;SÃO CARLOS;SP;33;33;57,8000;4,3119;55,8000;4,2971;4,3008;5;;;
2016;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Universidade;Pessoa Jurídica de Direito Público - Federal;627;36;FISIOTERAPIA;Educação Presencial;3548906;SÃO CARLOS;SP;13;9;56,8111;4,2606;48,9000;4,2180;4,2287;5;;;
2016;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Universidade;Pessoa Jurídica de Direito Público - Federal;632;17;AGRONOMIA;Educação Presencial;3503307;ARARAS;SP;81;73;55,6466;3,9938;63,3986;3,1436;3,3561;4;;;
2016;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pessoa Jurídica de Direito Público - Federal;685;17;AGRONOMIA;Educação Presencial;3171303;VIÇOSA;MG;200;188;57,1617;4,2325;70,3963;4,1701;4,1857;5;;;
2016;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pessoa Jurídica de Direito Público - Federal;695;5;MEDICINA VETERINÁRIA;Educação Presencial;3171303;VIÇOSA;MG;80;80;57,1800;4,0661;58,8512;4,3910;4,3098;5;;;
2016;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pessoa Jurídica de Direito Público - Federal;698;28;NUTRIÇÃO;Educação Presencial;3171303;VIÇOSA;MG;61;61;55,9984;4,0467;65,0180;4,1997;4,1615;5;;;
2016;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pessoa Jurídica de Direito Público - Federal;701;51;ZOOTECNIA;Educação Presencial;3171303;VIÇOSA;MG;50;47;54,7660;4,2272;46,6489;3,2089;3,4635;4;;;
2016;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;751;17;AGRONOMIA;Educação Presencial;4113700;LONDRINA;PR;69;68;53,9897;3,7328;70,1794;4,1383;4,0369;5;;;
2016;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;758;12;MEDICINA;Educação Presencial;4113700;LONDRINA;PR;86;86;63,7965;3,6155;70,0907;3,0660;3,2034;4;;;
2016;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;759;36;FISIOTERAPIA;Educação Presencial;4113700;LONDRINA;PR;47;46;50,9739;3,4497;42,0043;3,2202;3,2776;4;;;
2016;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;760;6;ODONTOLOGIA;Educação Presencial;4113700;LONDRINA;PR;50;48;57,2521;3,9226;63,9437;3,3182;3,4693;4;;;
2016;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;761;19;FARMÁCIA;Educação Presencial;4113700;LONDRINA;PR;36;36;56,2500;3,8226;60,4500;3,7042;3,7338;4;;;
2016;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;762;38;SERVIÇO SOCIAL;Educação Presencial;4113700;LONDRINA;PR;66;60;44,2667;2,8991;61,4917;3,5931;3,4196;4;;;
2016;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;763;23;ENFERMAGEM;Educação Presencial;4113700;LONDRINA;PR;47;43;49,0581;3,1401;48,0884;3,1922;3,1792;4;;;
2016;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pessoa Jurídica de Direito Público - Estadual;777;5;MEDICINA VETERINÁRIA;Educação Presencial;4113700;LONDRINA;PR;73;71;52,4254;3,3335;57,4732;4,1373;3,9364;4;;;
2016;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;859;38;SERVIÇO SOCIAL;Educação Presencial;4106902;CURITIBA;PR;45;41;50,5171;3,7717;61,9659;3,6404;3,6732;4;;;
2016;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;867;23;ENFERMAGEM;Educação Presencial;4106902;CURITIBA;PR;40;35;43,6114;2,4101;49,6371;3,4141;3,1631;4;;;
2016;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;868;12;MEDICINA;Educação Presencial;4106902;CURITIBA;PR;165;164;64,3073;3,7310;73,0866;3,6458;3,6671;4;;;
2016;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;869;6;ODONTOLOGIA;Educação Presencial;4106902;CURITIBA;PR;77;77;48,6390;2,5817;57,1455;2,3891;2,4372;3;;;
2016;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;870;36;FISIOTERAPIA;Educação Presencial;4106902;CURITIBA;PR;57;52;51,9442;3,5845;38,8712;2,7669;2,9713;4;;;
2016;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;886;17;AGRONOMIA;Educação Presencial;4125506;SÃO JOSÉ DOS PINHAIS;PR;58;49;40,2980;1,5757;54,1510;1,7870;1,7342;2;;;
2016;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;888;5;MEDICINA VETERINÁRIA;Educação Presencial;4125506;SÃO JOSÉ DOS PINHAIS;PR;50;40;46,8775;2,4786;50,1300;2,7854;2,7087;3;;;
2016;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;953;27;FONOAUDIOLOGIA;Educação Presencial;2611606;RECIFE;PE;7;7;47,5429;2,6825;55,7000;2,2082;2,3267;3;;;
2016;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Universidade;Privada sem fins lucrativos;957;38;SERVIÇO SOCIAL;Educação Presencial;2611606;RECIFE;PE;49;44;37,5295;1,9586;54,1682;2,8628;2,6368;3;;;
2016;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Pessoa Jurídica de Direito Público - Federal;1026;12;MEDICINA;Educação Presencial;4315602;RIO GRANDE;RS;63;63;60,8762;2,9554;67,1032;2,4878;2,6047;3;;;
2016;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Universidade;Pessoa Jurídica de Direito Público - Federal;1043;23;ENFERMAGEM;Educação Presencial;4315602;RIO GRANDE;RS;32;32;46,2750;2,7671;47,6750;3,1330;3,0415;4;;;
2016;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1098;38;SERVIÇO SOCIAL;Educação Presencial;4305108;CAXIAS DO SUL;RS;21;17;48,5176;3,4926;66,4529;4,0878;3,9390;4;;;
2016;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Universidade;Privada sem fins lucrativos;1107;12;MEDICINA;Educação Presencial;4305108;CAXIAS DO SUL;RS;77;77;61,6416;3,1284;69,2961;2,9122;2,9663;4;;;
2016;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;1225;23;ENFERMAGEM;Educação Presencial;4318705;SÃO LEOPOLDO;RS;52;52;51,7192;3,4968;50,7865;3,5788;3,5583;4;;;
2016;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;1227;28;NUTRIÇÃO;Educação Presencial;4318705;SÃO LEOPOLDO;RS;59;58;45,4448;2,6385;56,1828;3,2120;3,0686;4;;;
2016;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Universidade;Privada sem fins lucrativos;1242;38;SERVIÇO SOCIAL;Educação Presencial;4318705;SÃO LEOPOLDO;RS;29;28;42,4071;2,6395;61,4500;3,5890;3,3516;4;;;
2016;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Universidade;Privada sem fins lucrativos;1322;36;FISIOTERAPIA;Educação Presencial;3303906;PETRÓPOLIS;RJ;11;10;57,0400;4,2924;42,0600;3,2283;3,4943;4;;;
2016;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pessoa Jurídica de Direito Público - Federal;1433;17;AGRONOMIA;Educação Presencial;3170206;UBERLÂNDIA;MG;116;113;49,5929;3,0401;63,7575;3,1962;3,1572;4;;;
2016;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pessoa Jurídica de Direito Público - Federal;1439;12;MEDICINA;Educação Presencial;3170206;UBERLÂNDIA;MG;87;87;64,6494;3,8083;67,7598;2,6149;2,9133;3;;;
2016;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pessoa Jurídica de Direito Público - Federal;1440;5;MEDICINA VETERINÁRIA;Educação Presencial;3170206;UBERLÂNDIA;MG;88;83;53,2470;3,4601;52,6145;3,2428;3,2971;4;;;
2016;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Universidade;Pessoa Jurídica de Direito Público - Federal;1441;6;ODONTOLOGIA;Educação Presencial;3170206;UBERLÂNDIA;MG;85;82;53,1280;3,2806;58,9439;2,6349;2,7963;3;;;
2016;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Privada sem fins lucrativos;1518;12;MEDICINA;Educação Presencial;4314407;PELOTAS;RS;83;83;53,0060;1,1765;65,9120;2,2573;1,9871;3;;;
2016;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Universidade;Privada sem fins lucrativos;1526;38;SERVIÇO SOCIAL;Educação Presencial;4314407;PELOTAS;RS;33;32;50,3688;3,7510;57,6750;3,2125;3,3471;4;;;
2016;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1627;23;ENFERMAGEM;Educação Presencial;3509502;CAMPINAS;SP;56;56;48,5821;3,0763;47,4036;3,0941;3,0896;4;;;
2016;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1628;36;FISIOTERAPIA;Educação Presencial;3509502;CAMPINAS;SP;38;36;46,1194;2,7754;41,1750;3,1002;3,0190;4;;;
2016;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1629;12;MEDICINA;Educação Presencial;3509502;CAMPINAS;SP;133;133;58,1895;2,3482;65,5789;2,1929;2,2317;3;;;
2016;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1630;28;NUTRIÇÃO;Educação Presencial;3509502;CAMPINAS;SP;27;26;49,5154;3,1816;56,9077;3,2931;3,2652;4;;;
2016;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1631;6;ODONTOLOGIA;Educação Presencial;3509502;CAMPINAS;SP;77;76;49,1289;2,6580;55,1763;2,1200;2,2545;3;;;
2016;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1644;27;FONOAUDIOLOGIA;Educação Presencial;3509502;CAMPINAS;SP;18;18;43,4222;2,0576;60,8056;3,1315;2,8630;3;;;
2016;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Universidade;Privada sem fins lucrativos;1650;38;SERVIÇO SOCIAL;Educação Presencial;3509502;CAMPINAS;SP;40;35;44,8771;2,9844;55,5171;2,9973;2,9941;4;;;
2016;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1725;12;MEDICINA;Educação Presencial;4314100;PASSO FUNDO;RS;95;93;59,7570;2,7025;71,8344;3,4034;3,2282;4;;;
2016;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1726;6;ODONTOLOGIA;Educação Presencial;4314100;PASSO FUNDO;RS;58;57;51,7702;3,0692;57,3070;2,4112;2,5757;3;;;
2016;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1727;23;ENFERMAGEM;Educação Presencial;4314100;PASSO FUNDO;RS;54;47;45,2149;2,6250;45,4745;2,8177;2,7695;3;;;
2016;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Universidade;Privada sem fins lucrativos;1728;17;AGRONOMIA;Educação Presencial;4314100;PASSO FUNDO;RS;84;77;45,7286;2,4313;61,2169;2,8235;2,7255;3;;;
2016;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Universidade;Privada sem fins lucrativos;1879;12;MEDICINA;Educação Presencial;4314902;PORTO ALEGRE;RS;68;68;61,6603;3,1327;74,8294;3,9830;3,7704;4;;;
2016;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Universidade;Privada sem fins lucrativos;1883;6;ODONTOLOGIA;Educação Presencial;4314902;PORTO ALEGRE;RS;70;70;58,1029;4,0551;66,1114;3,6144;3,7246;4;;;
2016;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Universidade;Privada sem fins lucrativos;1887;38;SERVIÇO SOCIAL;Educação Presencial;4314902;PORTO ALEGRE;RS;58;56;46,4446;3,2032;63,3054;3,7740;3,6313;4;;;
2016;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Universidade;Privada sem fins lucrativos;1924;19;FARMÁCIA;Educação Presencial;4314902;PORTO ALEGRE;RS;62;61;47,6377;2,6052;55,6738;3,0738;2,9566;4;;;
2016;23;UNIVERSIDADE FEEVALE;FEEVALE;Universidade;Privada sem fins lucrativos;2089;36;FISIOTERAPIA;Educação Presencial;4313409;NOVO HAMBURGO;RS;48;48;44,6125;2,5660;45,3125;3,6989;3,4157;4;;;
2016;24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;Universidade;Pessoa Jurídica de Direito Público - Estadual;2112;23;ENFERMAGEM;Educação Presencial;2913606;ILHÉUS;BA;49;46;49,4326;3,1903;48,8565;3,3023;3,2743;4;;;
2016;24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;Universidade;Pessoa Jurídica de Direito Público - Estadual;2113;17;AGRONOMIA;Educação Presencial;2913606;ILHÉUS;BA;28;28;58,4500;4,4355;63,6250;3,1768;3,4915;4;;;
2016;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pessoa Jurídica de Direito Público - Federal;2133;23;ENFERMAGEM;Educação Presencial;1302603;MANAUS;AM;39;37;51,5973;3,4805;53,0541;3,9037;3,7979;4;;;
2016;27;UNIVERSIDADE VALE DO RIO VERDE;UNINCOR;Universidade;Privada sem fins lucrativos;2147;6;ODONTOLOGIA;Educação Presencial;3169307;TRÊS CORAÇÕES;MG;29;28;43,7321;1,8178;50,7429;1,5141;1,5900;2;;;
2016;29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Universidade;Pessoa Jurídica de Direito Público - Estadual;2191;5;MEDICINA VETERINÁRIA;Educação Presencial;2304400;FORTALEZA;CE;60;51;55,7824;3,8507;55,1549;3,7105;3,7456;4;;;
2016;29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Universidade;Pessoa Jurídica de Direito Público - Estadual;2192;23;ENFERMAGEM;Educação Presencial;2304400;FORTALEZA;CE;53;50;56,5700;4,1470;54,8980;4,1679;4,1627;5;;;
2016;29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Universidade;Pessoa Jurídica de Direito Público - Estadual;2202;28;NUTRIÇÃO;Educação Presencial;2304400;FORTALEZA;CE;71;68;54,0235;3,7832;63,1000;3,9853;3,9348;4;;;
2016;29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Universidade;Pessoa Jurídica de Direito Público - Estadual;2214;38;SERVIÇO SOCIAL;Educação Presencial;2304400;FORTALEZA;CE;206;169;48,5888;3,5025;66,1763;4,0603;3,9208;4;;;
2016;30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Universidade;Privada sem fins lucrativos;2295;5;MEDICINA VETERINÁRIA;Educação Presencial;3101607;ALFENAS;MG;36;34;53,6118;3,5163;51,3912;3,0176;3,1423;4;;;
2016;30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Universidade;Privada sem fins lucrativos;2297;6;ODONTOLOGIA;Educação Presencial;3101607;ALFENAS;MG;116;113;51,2292;2,9850;59,8885;2,7640;2,8192;3;;;
2016;30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Universidade;Privada sem fins lucrativos;2298;17;AGRONOMIA;Educação Presencial;3101607;ALFENAS;MG;25;19;51,3158;3,3115;65,1263;3,3970;3,3757;4;;;
2016;30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Universidade;Privada sem fins lucrativos;2304;12;MEDICINA;Educação Presencial;3101607;ALFENAS;MG;163;162;58,2247;2,3561;66,5241;2,3758;2,3708;3;;;
2016;32;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;UNCISAL;Universidade;Pessoa Jurídica de Direito Público - Estadual;2348;12;MEDICINA;Educação Presencial;2704302;MACEIÓ;AL;48;47;54,9766;1,6219;62,3426;1,5665;1,5804;2;;;
2016;32;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;UNCISAL;Universidade;Pessoa Jurídica de Direito Público - Estadual;2350;27;FONOAUDIOLOGIA;Educação Presencial;2704302;MACEIÓ;AL;24;24;51,6583;3,3066;57,6125;2,5540;2,7422;3;;;
2016;32;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;UNCISAL;Universidade;Pessoa Jurídica de Direito Público - Estadual;2351;36;FISIOTERAPIA;Educação Presencial;2704302;MACEIÓ;AL;39;39;52,1897;3,6186;42,3154;3,2652;3,3536;4;;;
